filename,title,artist,year,price_text
Ingres_Moitessier_Seated.jpg,Madame Moitessier (Seated),Jean-Auguste-Dominique Ingres,1856,"¥4,500,000"
Ingres_Moitessier_Standing.jpg,Madame Moitessier (Standing),Jean-Auguste-Dominique Ingres,1851,"¥4,200,000"
VigeeLeBrun_Hamilton_Sibyl.jpg,Emma Hamilton as a Sibyl,Élisabeth Vigée Le Brun,1791,"¥2,300,000"
VigeeLeBrun_Skavronskaia.jpg,Portrait of Countess Skavronskaia,Élisabeth Vigée Le Brun,1796,"¥1,600,000"
Tissot_Summer.jpg,Summer (La Femme à l’ombrelle),James Tissot,1876,"¥2,600,000"
Rossetti_BeataBeatrix.jpg,Beata Beatrix,Dante Gabriel Rossetti,1870,"¥3,200,000"
Rossetti_Proserpine.jpg,Proserpine,Dante Gabriel Rossetti,1874,"¥3,100,000"
Feuerbach_Nanna.jpg,Nanna,Anselm Feuerbach,1861,"¥1,900,000"
Feuerbach_Venezianerin.jpg,Die Venezianerin,Anselm Feuerbach,1866,"¥1,500,000"
Frampton_YoungWoman.jpg,A Young Woman,George Frampton (attrib.),1890,"¥800,000"
Clausen_BrownEyes.jpg,Brown Eyes,George Clausen,1886,"¥1,100,000"
Clausen_LadyWithDove.jpg,Lady with Dove,George Clausen,1889,"¥900,000"
Hughes_Elaine_Launcelot.jpg,Elaine and Lancelot,Arthur Hughes,1861,"¥1,700,000"
Reynolds_LadyBampfylde.jpg,Lady Bampfylde,Joshua Reynolds,1776,"¥2,000,000"
Wells_Gretchen.jpg,Gretchen,Henry Tanworth Wells,1878,"¥600,000"
The Singer.jpg,The Singer,William-Adolphe Bouguereau (attrib.),1884,"¥900,000"
