filename,title,artist,year,license,museum,is_masterwork,citations,exhibitions,auction_price_usd,views_per_year,price_estimate_usd,significance_text,source_links
Ingres_Moitessier_Seated.jpg,Madame Moitessier (Seated),Jean-Auguste-Dominique Ingres,1856,Public Domain,"National Gallery, London",1,160,12,,48000,4500000,"An iconic synthesis of line, surface and poise; Ingres’ neoclassical ideal of grace and dignity.",https://www.nationalgallery.org.uk/
Ingres_Moitessier_Standing.jpg,Madame Moitessier (Standing),Jean-Auguste-Dominique Ingres,1851,Public Domain,"National Gallery of Art, Washington",1,120,9,,42000,4200000,A companion portrait that amplifies Ingres’ linear elegance and ornamental detail.,https://www.nga.gov/
VigeeLeBrun_Hamilton_Sibyl.jpg,Emma Hamilton as a Sibyl,Élisabeth Vigée Le Brun,1791,Public Domain,Tate Britain,1,95,7,,32000,2300000,Celebrates feminine intellect and charisma by one of the most celebrated women painters of her era.,https://www.tate.org.uk/
VigeeLeBrun_Skavronskaia.jpg,Portrait of Countess Skavronskaia,Élisabeth Vigée Le Brun,1796,Public Domain,Private collection / various loans,0,60,6,,21000,1600000,A luminous portrait balancing social presence and psychological immediacy.,https://en.wikipedia.org/wiki/%C3%89lisabeth_Vig%C3%A9e_Le_Brun
Tissot_Summer.jpg,Summer (La Femme à l’ombrelle),James Tissot,1876,Public Domain,Private collection / formerly exhibited,1,110,8,2500000,30000,2600000,"A virtuoso meditation on fabric, gesture and modern leisure in late 19th‑century society.",https://www.metmuseum.org/
Rossetti_BeataBeatrix.jpg,Beata Beatrix,Dante Gabriel Rossetti,1870,Public Domain,Tate Britain,1,140,10,,35000,3200000,A spiritual image of love and loss; a cornerstone of Pre‑Raphaelite symbolism.,https://www.tate.org.uk/
Rossetti_Proserpine.jpg,Proserpine,Dante Gabriel Rossetti,1874,Public Domain,Tate Britain,1,130,9,,34000,3100000,"Myth, desire and captivity distilled into a haunting, emblematic portrait.",https://www.tate.org.uk/
Feuerbach_Nanna.jpg,Nanna,Anselm Feuerbach,1861,Public Domain,"Neue Pinakothek, Munich",1,85,6,,18000,1900000,Austere harmony and introspection typical of late Romantic classicism.,https://www.pinakothek.de/
Feuerbach_Venezianerin.jpg,Die Venezianerin,Anselm Feuerbach,1866,Public Domain,Staatliche Kunsthalle Karlsruhe,0,55,5,,15000,1500000,A Venetian reverie—poised elegance meeting luminous restraint.,https://www.kunsthalle-karlsruhe.de/
Frampton_YoungWoman.jpg,A Young Woman,George Frampton (attrib.),1890,Public Domain,UK regional collection,0,40,4,,12000,800000,Quiet modernity—an intimate register of poise and personality.,https://artuk.org/
Clausen_BrownEyes.jpg,Brown Eyes,George Clausen,1886,Public Domain,Tate Britain,0,50,5,,16000,1100000,Natural light and frank presence—British realism at human scale.,https://www.tate.org.uk/
Clausen_LadyWithDove.jpg,Lady with Dove,George Clausen,1889,Public Domain,Private collection / loans,0,35,3,,11000,900000,A gentle emblem of care; gesture becomes a language of peace.,https://artuk.org/
Hughes_Elaine_Launcelot.jpg,Elaine and Lancelot,Arthur Hughes,1861,Public Domain,Wadsworth Atheneum,1,70,6,,19000,1700000,Pre‑Raphaelite clarity and medieval sentiment intertwined in lyrical detail.,https://www.thewadsworth.org/
Reynolds_LadyBampfylde.jpg,Lady Bampfylde,Joshua Reynolds,1776,Public Domain,Private collection / loans,0,65,5,,17000,2000000,Grand manner portraiture that shaped British taste and public imagination.,https://www.rct.uk/
Wells_Gretchen.jpg,Gretchen,Henry Tanworth Wells,1878,Public Domain,UK regional collection,0,30,3,,9000,600000,A theatrical hush—poised profile and narrative suggestion.,https://artuk.org/
DaVinci_Ginevra.jpg,Ginevra de’ Benci (study / ref),Leonardo da Vinci,1474,Public Domain,"National Gallery of Art, Washington",1,200,15,,52000,12000000,Early psychological portraiture; subtle modeling of presence that shaped Western art.,https://www.nga.gov/
Romney_EmmaHart_Circe.jpg,Emma Hart as Circe,George Romney,1782,Public Domain,Tate Britain,0,80,5,,20000,2100000,"Celebrity, theatre and myth converge in an image of magnetic agency.",https://www.tate.org.uk/
The Singer.jpg,The Singer,William-Adolphe Bouguereau (attrib.),1884,Public Domain,Private collection,0,35,3,,10000,900000,Velvety finish and poised gesture—an image tuned to lyrical attention.,https://www.musee-orsay.fr/
